,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,31.95734434124527,26.968381897086175,38.17619783616692
147,Central NY,42.081447963800905,45.87509637625289,37.742504409171076
148,Finger Lakes,46.84023668639053,45.270270270270274,48.5785536159601
149,Long Island,44.55002479823256,44.09196441412751,45.10675490073667
150,Mid-Hudson,54.12170910660337,56.8134377839444,50.84223438949227
151,Mohawk Valley,54.57227138643068,63.18289786223278,40.46692607003891
152,New York City,63.04474158719124,62.73237469747321,63.379441859941835
153,North Country,61.12322791712105,60.837887067395265,61.54891304347826
154,Southern Tier,43.86094674556213,41.42312579415502,47.256637168141594
155,Western NY,48.27945776850886,60.014727540500736,37.78801843317972
